NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	SMER	LHZ	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	
AZ	SMTC	BHE	--	"Superstition Mt., San Diego CO"	32.9449	-115.7999	100	2/2/98	5/31/01	0	
AZ	SMTC	BHN	--	"Superstition Mt., San Diego CO"	32.9449	-115.7999	100	2/2/98	5/31/01	0	
AZ	SMTC	BHZ	--	"Superstition Mt., San Diego CO"	32.9449	-115.7999	100	2/2/98	5/31/01	0	
AZ	SMTC	HHE	--	"Superstition Mt., San Diego CO"	32.9449	-115.7999	100	2/2/98	5/31/01	0	
AZ	SMTC	HHN	--	"Superstition Mt., San Diego CO"	32.9449	-115.7999	100	2/2/98	5/31/01	0	
AZ	SND	BHE	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	1/1/00	0	*realtime
AZ	SND	BHN	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	1/1/00	0	*realtime
AZ	SND	BHZ	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	1/1/00	0	*realtime
AZ	SND	HHE	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	1/1/00	0	*realtime
AZ	SND	HHN	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	1/1/00	0	*realtime
AZ	SND	HHZ	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	1/1/00	0	*realtime
AZ	SND	HLE	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	6/9/93	0	
AZ	SND	HLN	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	6/9/93	0	
AZ	SND	HLZ	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	3/7/93	6/23/93	0	
AZ	SND	HNE	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	1/6/02	1/1/00	0	*realtime
AZ	SND	HNN	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	1/6/02	1/1/00	0	*realtime
AZ	SND	HNZ	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	1/6/02	1/1/00	0	*realtime
AZ	SND	LHE	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	8/3/99	1/1/00	0	
AZ	SND	LHN	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	8/3/99	1/1/00	0	
AZ	SND	LHZ	--	"Jim Saunders Place, Anza, CA,"	33.5519	-116.6129	1358	8/3/99	1/1/00	0	
